:ID,名称,:Label,类型,含义,蓝色预警,黄色预警,橙色预警,红色预警
入库超期未提,入库超期未提,预警指标,物流类,限于已入实体库的未提货物跟踪。有去向业务：下游用户在约定的提货期内仍没有提货的预警。提货期按销售合同的最后付款日期2：有去向超期天数=当前日期-最后付款日期2无去向业务：按约定超过库龄天数（目前为60天）起，进行超期天数跟踪:无去向超期天数=实际库龄,0 天＜库龄（需排除黄橙红）说明：表示货物一旦入库就进入未提货跟踪。,1.有去向业务：0（有去向超期天数≤15天2. 无去向业务：0天(库龄≤30天 所有在库量,1.有去向业务：15天＜有去向超期天数≤30天2. 无去向业务：30天〈库龄≤60天,1.有去向业务：30天〈有去向超期天数2. 无去向业务：60天«库龄
交货超期,交货超期,预警指标,物流类,上游供方超交货期没交货，以采购合同约定的预计最迟交货日期为判断点,-15 天＜超期天≤0天说明：-15 天表示离交货期还有15天,0天＜超期天≤30天,30天＜超期天≤60天,60天＜超期天
进项超期,进项超期,预警指标,业务类,上游供方货物已发货，但未开制进项发票；以系统入库日期作为起始点,进项超期天≤30天说明：进项超期天=当前日期入库日期,30天‹进项超期天≤45天,45 天〈进项超期天≤60天,60天〈进项超期天
库存预警,库存预警,预警指标,物流类,按实物库龄和库存量，汇总到下游客户进行预警，以系统实物入库日期为起始点。,0 天＜库龄≤30天 所有在库量,1.30天＜库龄≤60天 所有在库量,1、60天〈库龄≤90天,90 天<库龄
授信逾期超额,授信逾期超额,预警指标,信用类,逾期：是指授信超过期限仍占用的情况；超额：是指授信占用超授信额度的情况,-15 天〈授信逾期≤0天说明：-15 天表示离授信期限还有15天,1、0天<授信逾期≤30天所有授信占用说明：以上二个条件符合任意一个即为黄色预警,30天〈授信逾期≤60天,1、60天〈授信逾期2、超额的情况说明：以上二个条件符合任意一个即为红色预警
销项超期,销项超期,预警指标,业务类,货物已销售出库，但未开制销项发票，以系统出库日期作为起始点,0天＜销项超期天≤30天,30 天〈销项超期天≤60天,60天＜销项超期天,
